"mois","jour","hrmn","lum","dep","int","agg","com","atm","col","gps","lat","long","catr","circ","nbv","prof","plan","surf","situ","catu","place","sexe","an_nais","trajet","secu","catv","obsm","choc","manv","grav"
6,6,2045,"1",590,"1","2",670,"1","1","M",5054878,291778,"3","2","2","1","3","1","1","1","1","1",1999,"5","21","30","2","3","17","1"
6,6,2045,"1",590,"1","2",670,"1","1","M",5054878,291778,"3","2","2","1","3","1","1","1","1","2",1965,"5","11","7","2","3","23","0"
1,28,2015,"3",590,"1","2",257,"1","3","M",5060813,286792,"3","2","2","1","1","2","1","1","1","2",1994,"5","11","7","2","5","19","1"
1,28,2015,"3",590,"1","2",257,"1","3","M",5060813,286792,"3","2","2","1","1","2","1","1","1","1",1961,"1","11","7","2","1","1","0"
6,5,1445,"1",590,"2","1",576,"1","3","M",5097700,231400,"3","2","2","1","1","1","1","1","1","1",1970,"3","11","7","2","3","1","0"
6,5,1445,"1",590,"2","1",576,"1","3","M",5097700,231400,"3","2","2","1","1","1","1","1","1","2",1996,"9","11","7","2","8","19","1"
8,2,1645,"1",590,"1","2",647,"1","1","M",5083400,221000,"3","2","2","3","2","1","1","1","1","2",1972,"5","11","10","2","1","1","0"
8,2,1645,"1",590,"1","2",647,"1","1","M",5083400,221000,"3","2","2","3","2","1","1","1","1","1",1949,"5","21","31","2","7","15","1"
11,10,1230,"1",590,"1","1",307,"1","1","M",5086200,221000,"3","2","2","1","1","1","1","1","1","2",1961,"9","11","7","2","1","13","1"
11,10,1230,"1",590,"1","1",307,"1","1","M",5086200,221000,"3","2","2","1","1","1","1","1","1","1",1969,"4","11","7","2","1","1","1"
11,2,945,"1",590,"1","2",268,"5","3","M",5064100,272200,"4","2","2","1","1","1","1","1","1","2",1934,"5","11","7","2","7","17","0"
11,2,945,"1",590,"1","2",268,"5","3","M",5064100,272200,"4","2","2","1","1","1","1","1","1","1",1941,"5","1","1","2","8","1","1"
11,17,745,"1",590,"1","1",180,"1","1","M",5067700,268400,"3","2","2","1","1","2","1","1","1","2",1957,"5","11","7","2","3","13","1"
11,17,745,"1",590,"1","1",180,"1","1","M",5067700,268400,"3","2","2","1","1","2","1","1","1","1",1948,"5","11","7","2","3","1","0"
6,19,1000,"1",590,"1","1",669,"1","3","M",5079349,244123,"3","2","2","1","4","1","1","1","1","1",1975,"4","11","10","2","3","15","0"
6,19,1000,"1",590,"1","1",669,"1","3","M",5079349,244123,"3","2","2","1","4","1","1","1","1","1",1992,"5","21","33","2","1","1","1"
6,13,1756,"1",590,"8","1",44,"1","3","M",5061924,321996,"4","2","2","1","1","9","1","1","1","1",1997,"5","22","2","4","6","1","1"
6,13,1756,"1",590,"8","1",44,"1","3","M",5061924,321996,"4","2","2","1","1","9","1","1","1","1",1969,"4","91","39","2","3","1","0"
5,5,1200,"1",590,"1","1",611,"6","2","M",5066572,300818,"3","2","2","1","1","2","1","1","1","1",1992,"1","11","7","2","2","1","0"
5,5,1200,"1",590,"1","1",611,"6","2","M",5066572,300818,"3","2","2","1","1","2","1","1","1","2",1962,"5","22","1","2","3","13","1"
